地址ID,地址类型,楼层,架号,框号,包号
648,3,4,车间对上四楼办公室,H20-15,
649,3,4,车间对上四楼办公室,H20-16,
650,3,4,车间对上四楼办公室,H20-17,
651,3,4,车间对上四楼办公室,H21-1,
652,3,4,车间对上四楼办公室,H21-2,
653,3,4,车间对上四楼办公室,H21-3,
654,3,4,车间对上四楼办公室,H21-4,
655,3,4,车间对上四楼办公室,H21-5,
656,3,4,车间对上四楼办公室,H22-1,
657,3,4,车间对上四楼办公室,H22-2,
658,3,4,车间对上四楼办公室,H22-3,
659,3,4,车间对上四楼办公室,H22-4,
660,3,4,车间对上四楼办公室,H22-5,
661,3,4,车间对上四楼办公室,H23-1,
662,3,4,车间对上四楼办公室,H23-2,
663,3,4,车间对上四楼办公室,H23-3,
664,3,4,车间对上四楼办公室,H23-4,
665,3,4,车间对上四楼办公室,H23-5,
666,3,4,车间对上四楼办公室,H23-6,
667,3,4,车间对上四楼办公室,H23-7,
668,3,4,车间对上四楼办公室,H23-8,
669,3,4,车间对上四楼办公室,H23-9,
670,3,4,车间对上四楼办公室,H23-10,
671,3,4,车间对上四楼办公室,H23-11,
672,3,4,车间对上四楼办公室,H23-12,
673,3,4,车间对上四楼办公室,H23-13,
674,3,4,车间对上四楼办公室,H23-14,
675,3,4,车间对上四楼办公室,H23-15,
676,3,4,车间对上四楼办公室,H23-16,
677,3,4,车间对上四楼办公室,H23-17,
678,3,4,车间对上四楼,H24-1,
679,3,4,车间对上四楼,H24-2,
680,3,4,车间对上四楼,H24-3,
681,3,4,车间对上四楼,H24-4,
682,3,4,车间对上四楼,H24-5,
683,3,4,车间对上四楼,H24-6,
684,3,4,车间对上四楼,H25-1,
685,3,4,车间对上四楼,H25-2,
686,3,4,车间对上四楼,H25-3,
687,3,4,车间对上四楼,H25-4,
688,3,4,车间对上四楼,H25-5,
689,3,4,车间对上四楼,H25-6,
690,3,4,车间对上四楼,H27-1,
691,3,4,车间对上四楼,H27-2,
692,3,4,车间对上四楼,H27-3,
693,3,4,车间对上四楼,H27-4,
694,3,4,车间对上四楼,H28-1,
695,3,4,车间对上四楼,H28-2,
696,3,4,车间对上四楼,H28-3,
697,3,4,车间对上四楼,H28-4,
698,3,4,车间对上四楼,H29-1,
699,3,4,车间对上四楼,H29-2,
700,3,4,车间对上四楼,H29-3,
701,3,4,车间对上四楼,H29-4,
702,3,4,车间对上四楼,H30-1,
703,3,4,车间对上四楼,H30-2,
704,3,4,车间对上四楼,H30-3,
705,3,4,车间对上四楼,H30-4,
706,3,4,车间对上四楼,H30-5,
707,3,4,车间对上四楼,H30-6,
708,2,4,,H5下面柜子,
709,5,5,shelf4,fabric36,bag0
710,5,5,shelf5,fabric37,bag0
711,5,5,shelf5,fabric38,bag0
712,5,5,shelf5,fabric39,bag0
713,5,5,shelf5,fabric40,bag0
714,5,5,shelf5,fabric41,bag0
715,5,5,shelf5,fabric41,bag1
716,5,5,shelf5,fabric41,bag2
717,5,5,shelf5,fabric42,bag0
718,5,5,shelf5,box44,bag1
719,5,5,shelf5,box44,bag2
720,5,5,shelf5,box44,bag3
721,5,5,shelf5,box44,bag4
722,5,5,shelf5,box44,bag5
723,5,5,shelf5,box44,bag6
724,5,5,shelf5,box44,bag7
725,5,5,shelf5,box45,bag1
726,5,5,shelf5,box45,bag2
727,5,5,shelf5,box45,bag3
728,5,5,shelf5,box45,bag4
729,5,5,shelf5,box45,bag5
730,5,5,shelf5,box45,bag6
731,5,5,shelf5,fabric40,bag1
